No;Province;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Month;Disaster
33; Jawa Tengah;6;;;2;;6;6;;;;;;;;;2020;105;6;Tornado
35; Jawa Timur;3;;;;;;35;;;2;;;;;;2020;105;6;Tornado
36; Banten;1;;;;4;;1;;;;;;;;;2020;105;6;Tornado
51; Bali;1;;;;;;6;;;;;;;;;2020;105;6;Tornado
61; Kalimantan Barat;2;;;;;15;6;;;;;;;;;2020;105;6;Tornado
63; Kalimantan Selatan;2;;;;42;;11;;;;;;;;;2020;105;6;Tornado
73; Sulawesi Selatan;3;;;;4;;4;;;;;;;;;2020;105;6;Tornado
11; Aceh;9;;;;;;;;;;;;;;;2020;107;6;Forest Fire
15; Jambi;12;;;;;;;;;;;;;;;2020;107;6;Forest Fire
21; Kepulauan Riau;2;;;;;;;;;;;;;;;2020;107;6;Forest Fire
33; Jawa Tengah;1;;;;;;;;;;;;;;;2020;107;6;Forest Fire
36; Banten;1;;;;;;;;;;;;;;;2020;107;6;Forest Fire
61; Kalimantan Barat;1;;;;;;;;;;;;;;;2020;107;6;Forest Fire
62; Kalimantan Tengah;1;;;;;;;;;;;;;;;2020;107;6;Forest Fire
63; Kalimantan Selatan;1;;;;;;;;;;;;;;;2020;107;6;Forest Fire
64; Kalimantan Timur;3;;;;;;;;;;;;;;;2020;107;6;Forest Fire
65; Kalimantan Utara;1;;;;;;;;;;;;;;;2020;107;6;Forest Fire
11; Aceh;2;;;;8;;2;;;1;;;;;5;2020;108;6;Earthquake
52; Nusa Tenggara Barat;2;;;;;;;1;;;;;;;;2020;108;6;Earthquake
82; Maluku Utara;4;;;;715;;312;;;;;;;;;2020;108;6;Earthquake
11; Aceh;10;1;;;25457;3116;62;;;1;;;1;;21;2020;101;7;Flood
12; Sumatera Utara;5;1;1;8;1740;;2;;;;;;3;;;2020;101;7;Flood
13; Sumatera Barat;7;;;;2137;;1;1;1;;;2;1;;;2020;101;7;Flood
15; Jambi;1;;;;96;;;;;;;;;;;2020;101;7;Flood
17; Bengkulu;1;;;;;;;;;;;;;;;2020;101;7;Flood
32; Jawa Barat;2;;;;349;;;;;;;;;;;2020;101;7;Flood
52; Nusa Tenggara Barat;1;;;;240;;;;;;;;;;;2020;101;7;Flood
61; Kalimantan Barat;16;3;;;90240;31301;105;18;;13;;1;11;;;2020;101;7;Flood
62; Kalimantan Tengah;5;;;;12017;;;;;;;;;;;2020;101;7;Flood
63; Kalimantan Selatan;4;;;;13465;68;;;;2;;;3;;;2020;101;7;Flood
64; Kalimantan Timur;1;;;;232;;;;;;;;;;;2020;101;7;Flood
71; Sulawesi Utara;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2020;101;7;Flood
72; Sulawesi Tengah;7;;;;8049;1120;232;1;;1;;;4;;;2020;101;7;Flood
73; Sulawesi Selatan;9;;;;68197;1526;;83;37;66;;26;;;;2020;101;7;Flood
74; Sulawesi Tenggara;2;;;;16107;13460;;11;4;62;;;3;;;2020;101;7;Flood
75; Gorontalo;8;1;;;47807;17002;1491;;;;;;;;;2020;101;7;Flood
81; Maluku;1;;;;1110;55;;1;1;4;;2;1;;6;2020;101;7;Flood
82; Maluku Utara;5;;;;;4058;122;;;;;;3;;;2020;101;7;Flood
94; Papua;1;;;;340;;35;;;2;;1;;;2;2020;101;7;Flood
11; Aceh;1;;;;132;;37;;;;;;;;;2020;102;7;Land_Slide
12; Sumatera Utara;2;;;4;;44;21;;;1;;;;;;2020;102;7;Land_Slide
13; Sumatera Barat;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2020;102;7;Land_Slide
14; Riau;1;;;;;85;10;;;;;;;;;2020;102;7;Land_Slide
32; Jawa Barat;7;;;;23;7;6;;;;;;;;;2020;102;7;Land_Slide
33; Jawa Tengah;2;1;;3;;;1;;;;;;;;;2020;102;7;Land_Slide
51; Bali;2;;;;;;3;;;;;;;;;2020;102;7;Land_Slide
61; Kalimantan Barat;2;;;;10;80;8;;;;;;;;;2020;102;7;Land_Slide
64; Kalimantan Timur;1;;;;;;1;;;;;;;;;2020;102;7;Land_Slide
65; Kalimantan Utara;2;;;;;;2;;;;;;;;;2020;102;7;Land_Slide
72; Sulawesi Tengah;2;;;;13;;4;;;;;;;;;2020;102;7;Land_Slide
73; Sulawesi Selatan;1;;;;;;;1;;;;;;;;2020;102;7;Land_Slide
81; Maluku;1;;;;;;2;;;;;;;;;2020;102;7;Land_Slide
94; Papua;1;;;;;90;8;1;;1;;;6;;;2020;102;7;Land_Slide
11; Aceh;2;;;;1346;;;;;;;;;;;2020;103;7;Flood and Land Slide
13; Sumatera Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020;103;7;Flood and Land Slide
61; Kalimantan Barat;1;;;;;54;;1;;;;;2;;;2020;103;7;Flood and Land Slide
71; Sulawesi Utara;2;1;;;24739;165;119;;;;;;7;;;2020;103;7;Flood and Land Slide
72; Sulawesi Tengah;1;;;1;3720;;;;;;;;;;;2020;103;7;Flood and Land Slide
73; Sulawesi Selatan;1;39;9;106;15994;15306;4037;10;5;15;;10;9;;;2020;103;7;Flood and Land Slide
81; Maluku;1;;;;;;2;1;;;;;1;;;2020;103;7;Flood and Land Slide
82; Maluku Utara;1;;;;;1459;1;;;;;;4;;;2020;103;7;Flood and Land Slide
91; Papua Barat;2;7;;7;9579;2084;462;;1;1;;;;;;2020;103;7;Flood and Land Slide
11; Aceh;1;;;;65;;;;;;;;;;;2020;104;7;Abration
73; Sulawesi Selatan;1;;;;;;11;;;;;;;;;2020;104;7;Abration
11; Aceh;11;;;;823;120;198;2;;1;;;;;1;2020;105;7;Tornado
12; Sumatera Utara;8;1;;;;;407;;;1;;;;;;2020;105;7;Tornado
13; Sumatera Barat;5;;;;64;;22;;;;;;;;13;2020;105;7;Tornado
14; Riau;1;;;;;;1;;;;;;;;;2020;105;7;Tornado
18; Lampung;1;;;;510;70;116;;;;;;;;;2020;105;7;Tornado
32; Jawa Barat;18;;;3;166;7;45;1;1;;;;;;;2020;105;7;Tornado
35; Jawa Timur;1;;;1;;;8;;;;;;;;;2020;105;7;Tornado
36; Banten;1;;;;45;;;1;;;;;;;;2020;105;7;Tornado
51; Bali;1;;;;;;1;;;;;;;;;2020;105;7;Tornado
61; Kalimantan Barat;2;;;1;;21;893;;;;;;;;;2020;105;7;Tornado
62; Kalimantan Tengah;1;;;1;;;;;;;;;;;;2020;105;7;Tornado
65; Kalimantan Utara;1;;;;;;1;;;;;;;;;2020;105;7;Tornado
72; Sulawesi Tengah;1;;;;;;11;;;;;;;;;2020;105;7;Tornado
81; Maluku;1;;;1;13;;1;;;;;;;;;2020;105;7;Tornado
52; Nusa Tenggara Barat;9;;;;742657;;;;;;;;;;;2020;106;7;Drought
11; Aceh;9;;;;;;;;;;;;;;;2020;107;7;Forest Fire
15; Jambi;4;;;;;;;;;;;;;;;2020;107;7;Forest Fire
16; Sumatera Selatan;1;;;;;;;;;;;;;;;2020;107;7;Forest Fire
35; Jawa Timur;3;;;;;;;;;;;;;;;2020;107;7;Forest Fire
62; Kalimantan Tengah;1;;;;;;;;;;;;;;;2020;107;7;Forest Fire
63; Kalimantan Selatan;1;;;;;;;;;;;;;;;2020;107;7;Forest Fire
64; Kalimantan Timur;2;;;;;;;;;;;;;;;2020;107;7;Forest Fire
33; Jawa Tengah;1;;;;;;1;;;;;;;;;2020;108;7;Earthquake
11; Aceh;3;;;;1034;;;1;;;;;;;;2020;101;8;Flood
18; Lampung;3;;;;5830;380;1178;1;;2;;;;;;2020;101;8;Flood
32; Jawa Barat;4;;;;294;;;;;;;;;;;2020;101;8;Flood
61; Kalimantan Barat;1;;;;800;145;;;;;;;;;;2020;101;8;Flood
71; Sulawesi Utara;1;;;;45;;;;;;;;;;;2020;101;8;Flood
72; Sulawesi Tengah;4;;;1;3633;821;28;;1;;;2;1;;;2020;101;8;Flood
73; Sulawesi Selatan;2;;;;700;1008;;;;;;;;;;2020;101;8;Flood
75; Gorontalo;3;;;;6631;2483;1;6;2;;;;8;;;2020;101;8;Flood
81; Maluku;2;;;;971;;;;;;;;;;;2020;101;8;Flood
82; Maluku Utara;2;;;;;2603;50;;;;;;;;;2020;101;8;Flood
94; Papua;1;;;;;;;;;;;;1;;;2020;101;8;Flood
11; Aceh;3;1;;;13;;4;;;;;;;;;2020;102;8;Land_Slide
12; Sumatera Utara;1;2;;1;;;;;;;;;;;;2020;102;8;Land_Slide
13; Sumatera Barat;4;;;;;;4;;;;;;;;;2020;102;8;Land_Slide
14; Riau;1;;;;;18;4;;;;;;;;;2020;102;8;Land_Slide
19; Bangka Belitung;1;6;;;;;;;;;;;;;;2020;102;8;Land_Slide
32; Jawa Barat;15;;;3;725;23;18;;;;;;;;;2020;102;8;Land_Slide
33; Jawa Tengah;3;3;;;;;3;;;;;;;;;2020;102;8;Land_Slide
51; Bali;1;;;;;;1;;;;;;;;;2020;102;8;Land_Slide
64; Kalimantan Timur;2;;;;4;;3;;;;;;;;;2020;102;8;Land_Slide
65; Kalimantan Utara;1;;;;;;1;;;;;;;;;2020;102;8;Land_Slide
13; Sumatera Barat;1;;;;30;;6;;;;;;;;;2020;103;8;Flood and Land Slide
18; Lampung;1;;;;20;;3;;;1;;;;;;2020;104;8;Abration
11; Aceh;17;1;6;5;231;30;139;;;1;;;;;;2020;105;8;Tornado
12; Sumatera Utara;7;;;;;20;96;;;;;;;;;2020;105;8;Tornado
13; Sumatera Barat;5;;;;15;;10;1;;;;;;;;2020;105;8;Tornado
14; Riau;2;;;;;;64;;;1;;;;;;2020;105;8;Tornado
15; Jambi;2;;;;420;;99;;;;;;;;;2020;105;8;Tornado
21; Kepulauan Riau;2;;;;116;;36;;;;;;;;;2020;105;8;Tornado
32; Jawa Barat;19;;;2;286;8;109;;;;;;;;;2020;105;8;Tornado
33; Jawa Tengah;16;;;1;121;5;71;;;;;1;;;;2020;105;8;Tornado
34; Yogyakarta;1;;;1;;;7;;;;;;;;;2020;105;8;Tornado
35; Jawa Timur;3;1;;;;;177;;;;;;;;;2020;105;8;Tornado
51; Bali;1;;;;5;;1;;;;;;;;;2020;105;8;Tornado
53; Nusa Tenggara Timur;1;;;1;;;40;;;;;;;;;2020;105;8;Tornado
61; Kalimantan Barat;3;;;;140;;34;;;;;;1;;;2020;105;8;Tornado
63; Kalimantan Selatan;2;;;;7;;2;;;;;;;;;2020;105;8;Tornado
73; Sulawesi Selatan;3;;;;10;;3;;;;;;;;;2020;105;8;Tornado
81; Maluku;1;;;;;;;;1;;;;;;;2020;105;8;Tornado
32; Jawa Barat;3;;;;66084;;;;;;;;;;;2020;106;8;Drought
33; Jawa Tengah;3;0;0;0;18859;0;0;0;0;0;0;0;0;0;0;2020;106;8;Drought
35; Jawa Timur;1;;;;;;;;;;;;;;;2020;106;8;Drought
11; Aceh;14;;;;;;;;;;;;;;;2020;107;8;Forest Fire
12; Sumatera Utara;2;;;;;;;;;;;;;;;2020;107;8;Forest Fire
13; Sumatera Barat;1;;;;;;;;;;;;;;;2020;107;8;Forest Fire
15; Jambi;17;;;;;;;;;;;;;;;2020;107;8;Forest Fire
16; Sumatera Selatan;3;;;;;;;;;;;;;;;2020;107;8;Forest Fire
19; Bangka Belitung;1;;;;;;;;;;;;;;;2020;107;8;Forest Fire
21; Kepulauan Riau;5;;;;;;;;;;;;;;;2020;107;8;Forest Fire
32; Jawa Barat;6;;;;;;;;;;;;;;;2020;107;8;Forest Fire
33; Jawa Tengah;11;;;;;;;;;;;;;;;2020;107;8;Forest Fire
53; Nusa Tenggara Timur;3;;;;;;;;;;;;;;;2020;107;8;Forest Fire
62; Kalimantan Tengah;3;;;;;;;;;;;;;;;2020;107;8;Forest Fire
63; Kalimantan Selatan;21;;;;;;;;;;;;;;;2020;107;8;Forest Fire
64; Kalimantan Timur;6;;;;;;;;;;;;;;;2020;107;8;Forest Fire
65; Kalimantan Utara;1;;;;;;;;;;;;;;;2020;107;8;Forest Fire
12; Sumatera Utara;2;;;;;;;;;;;;;;;2020;111;8;Volcano Eruption
11; Aceh;3;;;;2735;;;;;1;;;1;;;2020;101;9;Flood
12; Sumatera Utara;9;;;;13480;;80;2;1;2;;;;;;2020;101;9;Flood
13; Sumatera Barat;5;;;;820;;1;;;;;;4;;;2020;101;9;Flood
15; Jambi;1;;;;310;;;;;;;;;;;2020;101;9;Flood
17; Bengkulu;2;;;;1845;;322;;;;;;;;;2020;101;9;Flood
18; Lampung;1;;;;3357;2;1113;;;;;;;;;2020;101;9;Flood
31; Jakarta;5;;;;;104;;;;;;;;;;2020;101;9;Flood
32; Jawa Barat;6;3;;20;1165;236;335;;;1;;;12;;1;2020;101;9;Flood
33; Jawa Tengah;1;;;;;;;;;;;;;;1;2020;101;9;Flood
35; Jawa Timur;2;;;;;;;1;;;;;;;;2020;101;9;Flood
61; Kalimantan Barat;12;;;;65674;61296;1;;;;;;1;;;2020;101;9;Flood
62; Kalimantan Tengah;7;1;;;91384;4381;;8;2;3;;1;;;;2020;101;9;Flood
63; Kalimantan Selatan;2;;;;15619;221;;;;;;;;;;2020;101;9;Flood
64; Kalimantan Timur;3;;;;300;;;;;;;;;;;2020;101;9;Flood
72; Sulawesi Tengah;7;;;;2892;166;22;;;;;;1;;;2020;101;9;Flood
73; Sulawesi Selatan;1;;;;225;;4;;;;;;;;;2020;101;9;Flood
75; Gorontalo;2;3;1;;4719;1174;230;;;;;;;;;2020;101;9;Flood
81; Maluku;1;;;;600;;;;;;;;;;;2020;101;9;Flood
82; Maluku Utara;2;;;;;16;;;;;;;;;;2020;101;9;Flood
94; Papua;2;2;;;;90;12;;;;;;;;;2020;101;9;Flood
13; Sumatera Barat;1;;;;;;2;;;;;;;;;2020;102;9;Land_Slide
17; Bengkulu;1;;;;;;1;;;;;;;;;2020;102;9;Land_Slide
32; Jawa Barat;21;;;7;1166;11;45;1;;;;;;;;2020;102;9;Land_Slide
33; Jawa Tengah;9;0;0;0;7;0;13;1;0;0;0;0;0;0;0;2020;102;9;Land_Slide
35; Jawa Timur;1;;;;;;16;;;;;;;;;2020;102;9;Land_Slide
36; Banten;1;;;;;;1;;;;;;;;;2020;102;9;Land_Slide
51; Bali;1;1;;;;;1;;;;;;;;;2020;102;9;Land_Slide
61; Kalimantan Barat;1;;;;;125;;;;;;;;;;2020;102;9;Land_Slide
64; Kalimantan Timur;2;;;;;;4;;;;;;;;;2020;102;9;Land_Slide
65; Kalimantan Utara;2;11;;3;425;;43;;;;;;2;;;2020;102;9;Land_Slide
72; Sulawesi Tengah;1;;;;;;6;;;;;;;;;2020;102;9;Land_Slide
81; Maluku;1;;;2;106;;1;;;;;;;;;2020;102;9;Land_Slide
91; Papua Barat;1;1;;;;;1;;;;;;;;;2020;102;9;Land_Slide
13; Sumatera Barat;5;;;;7511;300;2;;;;;;;;;2020;103;9;Flood and Land Slide
32; Jawa Barat;1;;;;696;;;;;;;;;;;2020;103;9;Flood and Land Slide
36; Banten;1;;;;205;;1;;;;;;;;;2020;103;9;Flood and Land Slide
61; Kalimantan Barat;2;1;;;99508;995;19;;;;;;;;;2020;103;9;Flood and Land Slide
65; Kalimantan Utara;1;;;;275;;4;;;;;;;;;2020;103;9;Flood and Land Slide
71; Sulawesi Utara;1;;;;976;;56;;;;;;;;;2020;103;9;Flood and Land Slide
72; Sulawesi Tengah;1;;;;;83;;;;;;;;;;2020;103;9;Flood and Land Slide
73; Sulawesi Selatan;1;;;;;265;102;;;;;;1;;;2020;103;9;Flood and Land Slide
76; Sulawesi Barat;1;;;;;75;3;;;2;;;1;;;2020;103;9;Flood and Land Slide
91; Papua Barat;1;2;;;;;;;;;;;;;;2020;103;9;Flood and Land Slide
73; Sulawesi Selatan;1;;;;110;;3;;;;;;;;;2020;104;9;Abration
11; Aceh;8;;;;255;3;71;2;;;;;;;;2020;105;9;Tornado
12; Sumatera Utara;4;;;5;28;70;374;;;;;;;;;2020;105;9;Tornado
13; Sumatera Barat;10;;;;14;;12;6;;;;;;;;2020;105;9;Tornado
16; Sumatera Selatan;5;;;;;;164;8;;;;;;;;2020;105;9;Tornado
17; Bengkulu;1;;;;;;27;1;;;;;;;;2020;105;9;Tornado
19; Bangka Belitung;2;;;;25;;1;;;;;;;;;2020;105;9;Tornado
21; Kepulauan Riau;3;;;3;120;8;28;;;;;;;;;2020;105;9;Tornado
32; Jawa Barat;37;;;2;2456;78;628;1;;2;;;;;;2020;105;9;Tornado
33; Jawa Tengah;13;0;0;0;334;17;312;1;0;0;0;0;0;0;4;2020;105;9;Tornado
35; Jawa Timur;3;;;;210;;51;;;;;;;;1;2020;105;9;Tornado
36; Banten;4;;;;35;;15;;;;;;;;;2020;105;9;Tornado
51; Bali;1;;;;5;;1;;;;;;;;;2020;105;9;Tornado
52; Nusa Tenggara Barat;1;;;;188;;49;;;;;;;;;2020;105;9;Tornado
61; Kalimantan Barat;3;;;1;;;28;;;;;;;;;2020;105;9;Tornado
62; Kalimantan Tengah;1;;;;4;;;;;;;;;;;2020;105;9;Tornado
63; Kalimantan Selatan;2;;;;5;;6;;;;;;;;;2020;105;9;Tornado
94; Papua;1;1;;;10;;2;;;;;;;;;2020;105;9;Tornado
16; Sumatera Selatan;1;;;;1000;;;;;;;;;;;2020;106;9;Drought
32; Jawa Barat;2;;;;12899;;;;;;;;;;;2020;106;9;Drought
33; Jawa Tengah;3;;;;23714;;;;;;;;;;;2020;106;9;Drought
11; Aceh;3;;;;;;;;;;;;;;;2020;107;9;Forest Fire
14; Riau;1;;;;;;;;;;;;;;;2020;107;9;Forest Fire
15; Jambi;8;;;;;;;;;;;;;;;2020;107;9;Forest Fire
16; Sumatera Selatan;2;;;;;;;;;;;;;;;2020;107;9;Forest Fire
21; Kepulauan Riau;3;;;;;;;;;;;;;;;2020;107;9;Forest Fire
32; Jawa Barat;6;;;;;;;;;;;;;;;2020;107;9;Forest Fire
33; Jawa Tengah;5;;;;;;;;;;;;;;;2020;107;9;Forest Fire
35; Jawa Timur;10;;;;;;;;;;;;;;;2020;107;9;Forest Fire
36; Banten;1;;;;;;;;;;;;;;;2020;107;9;Forest Fire
52; Nusa Tenggara Barat;1;;;;;;;;;;;;;;;2020;107;9;Forest Fire
53; Nusa Tenggara Timur;1;;;;;;;;;;;;;;;2020;107;9;Forest Fire
63; Kalimantan Selatan;32;;;;;;;;;;;;;;;2020;107;9;Forest Fire
64; Kalimantan Timur;2;;;;;;;;;;;;;;;2020;107;9;Forest Fire
71; Sulawesi Utara;1;;;2;;;136;2;;7;;2;;;;2020;108;9;Earthquake
11; Aceh;1;;;;100;;;;;;;;;;;2020;101;10;Flood
12; Sumatera Utara;4;;;;85293;;;1;;;;;4;;;2020;101;10;Flood
13; Sumatera Barat;7;;;;1708;70;78;3;;3;;;1;;;2020;101;10;Flood
15; Jambi;3;;;;3888;;;;;;;;;;;2020;101;10;Flood
16; Sumatera Selatan;5;;;;20;;;1;;;;;;;;2020;101;10;Flood
17; Bengkulu;4;;;;11065;;83;10;1;2;;;4;;;2020;101;10;Flood
19; Bangka Belitung;1;;;;350;;;;;;;;;;;2020;101;10;Flood
31; Jakarta;6;;;;3581;321;;;;;;;;;;2020;101;10;Flood
32; Jawa Barat;24;1;;2;77298;1688;1187;15;10;26;;;23;;;2020;101;10;Flood
33; Jawa Tengah;9;;;;18284;2249;;;;;;;2;;;2020;101;10;Flood
35; Jawa Timur;6;;;;34258;;;4;;4;;;;;;2020;101;10;Flood
36; Banten;2;;;;;;1;;;;;;;;;2020;101;10;Flood
62; Kalimantan Tengah;6;;;;53995;375;;;;;;;;;;2020;101;10;Flood
63; Kalimantan Selatan;2;;;;3948;;;;;;;;;;;2020;101;10;Flood
64; Kalimantan Timur;3;;;;3346;;;;;;;;;;;2020;101;10;Flood
72; Sulawesi Tengah;3;;;;7117;1760;4;;;;;;2;;;2020;101;10;Flood
13; Sumatera Barat;2;;;;25;25;2;;;;;;;;;2020;102;10;Land_Slide
16; Sumatera Selatan;3;12;1;;70;;13;;;;;;;;;2020;102;10;Land_Slide
17; Bengkulu;1;;;;;;3;;;;;;;;;2020;102;10;Land_Slide
32; Jawa Barat;49;1;;1;617;62;163;1;;;;;1;;;2020;102;10;Land_Slide
33; Jawa Tengah;48;2;;1;106;44;142;2;;1;;;6;;;2020;102;10;Land_Slide
34; Yogyakarta;1;;;;;;3;;;;;;;;;2020;102;10;Land_Slide
35; Jawa Timur;3;;;;210;;44;;;;;;;;;2020;102;10;Land_Slide
36; Banten;1;;;;;;;1;;1;;;;;;2020;102;10;Land_Slide
51; Bali;6;1;;1;40;;11;;;2;;;;;;2020;102;10;Land_Slide
52; Nusa Tenggara Barat;1;;;;4;;1;;;;;;;;;2020;102;10;Land_Slide
61; Kalimantan Barat;1;;;;;;;;;;;;;;;2020;102;10;Land_Slide
63; Kalimantan Selatan;1;;;;;3;1;;;;;;;;;2020;102;10;Land_Slide
64; Kalimantan Timur;3;;;;19;;6;;;;;;;;;2020;102;10;Land_Slide
65; Kalimantan Utara;2;;;;5;;3;;;;;;1;;;2020;102;10;Land_Slide
71; Sulawesi Utara;1;;;;9;;3;;;;;;;;;2020;102;10;Land_Slide
73; Sulawesi Selatan;2;;;;17;;5;;;;;;;;;2020;102;10;Land_Slide
81; Maluku;2;;;;275;;15;;;;;;;;;2020;102;10;Land_Slide
13; Sumatera Barat;1;;;;;;;;;;;;;;;2020;103;10;Flood and Land Slide
17; Bengkulu;1;;;;330;;;;;;;;;;;2020;103;10;Flood and Land Slide
31; Jakarta;1;1;;2;600;1269;;;;;;;;;;2020;103;10;Flood and Land Slide
32; Jawa Barat;6;3;;2;5984;312;9;2;;2;;;9;;;2020;103;10;Flood and Land Slide
33; Jawa Tengah;3;;;;;2108;24;;;;;;5;;;2020;103;10;Flood and Land Slide
35; Jawa Timur;1;;;;255;;;;;;;;1;;;2020;103;10;Flood and Land Slide
72; Sulawesi Tengah;1;;;;25;;;;;;;;;;1;2020;103;10;Flood and Land Slide
76; Sulawesi Barat;1;;;;340;;;;;;;;1;;;2020;103;10;Flood and Land Slide
81; Maluku;1;;;;;100;9;;;;;;;;;2020;103;10;Flood and Land Slide
33; Jawa Tengah;1;;;;;;;;;;;;;;37;2020;104;10;Abration
62; Kalimantan Tengah;1;;;;;;4;;;;;;;;;2020;104;10;Abration
71; Sulawesi Utara;1;;;;;;14;1;;;;;;;;2020;104;10;Abration
82; Maluku Utara;1;;;;;180;;;;;;;;;;2020;104;10;Abration
11; Aceh;9;;;;35;5;12;1;;;;;;;;2020;105;10;Tornado
12; Sumatera Utara;1;;;5;;;;;;;;;;;;2020;105;10;Tornado
13; Sumatera Barat;19;;;;37;;31;;1;;;;;;;2020;105;10;Tornado
14; Riau;2;;;;;;3;1;;;;;;;;2020;105;10;Tornado
15; Jambi;3;;;;;;76;1;;;;;;;;2020;105;10;Tornado
16; Sumatera Selatan;2;;;;;;24;;;;;;;;;2020;105;10;Tornado
17; Bengkulu;1;2;;;;;1;;;;;3;;;;2020;105;10;Tornado
19; Bangka Belitung;1;;;;175;;2;;;;;;;;;2020;105;10;Tornado
31; Jakarta;1;;;3;517;;134;;;;;;;;;2020;105;10;Tornado
32; Jawa Barat;73;;;7;2360;79;629;2;;1;;;;;2;2020;105;10;Tornado
33; Jawa Tengah;34;;;6;317;9;232;2;;;;;;;1;2020;105;10;Tornado
34; Yogyakarta;2;;;;531;;162;;;1;;;;;1;2020;105;10;Tornado
35; Jawa Timur;6;1;;;15;;108;;;;;;;;;2020;105;10;Tornado
36; Banten;2;;;1;549;;91;1;;4;;;;;4;2020;105;10;Tornado
51; Bali;6;;;;;;5;;;7;;1;;;;2020;105;10;Tornado
52; Nusa Tenggara Barat;5;;;;48;;12;;;;;;;;;2020;105;10;Tornado
53; Nusa Tenggara Timur;1;;;;55;;13;;;;;;;;;2020;105;10;Tornado
61; Kalimantan Barat;2;;;;;;23;;;;;;;;;2020;105;10;Tornado
63; Kalimantan Selatan;4;;;;159;;48;;;;;;;;6;2020;105;10;Tornado
64; Kalimantan Timur;1;;;;10;;1;;;;;;;;;2020;105;10;Tornado
65; Kalimantan Utara;2;;;;;2;2;;;;;;;;;2020;105;10;Tornado
71; Sulawesi Utara;2;;;;;;8;1;;;;;;;;2020;105;10;Tornado
73; Sulawesi Selatan;5;;;;137;;53;;;;;;;;;2020;105;10;Tornado
76; Sulawesi Barat;1;;;;4;;1;;;;;;;;;2020;105;10;Tornado
81; Maluku;1;;;;59;;11;;;;;;;;;2020;105;10;Tornado
33; Jawa Tengah;1;;;;;;;;;;;;;;;2020;106;10;Drought
35; Jawa Timur;1;;;;;;;;;;;;;;;2020;106;10;Drought
11; Aceh;2;;;;;;;;;;;;;;;2020;107;10;Forest Fire
12; Sumatera Utara;1;;;;;;;;;;;;;;;2020;107;10;Forest Fire
15; Jambi;14;;;;;;;;;;;;;;;2020;107;10;Forest Fire
32; Jawa Barat;1;;;;;;;;;;;;;;;2020;107;10;Forest Fire
33; Jawa Tengah;2;;;;;;;;;;;;;;;2020;107;10;Forest Fire
63; Kalimantan Selatan;26;;;;;;;;;;;;;;;2020;107;10;Forest Fire
64; Kalimantan Timur;8;;;;;;;;;;;;;;;2020;107;10;Forest Fire
32; Jawa Barat;6;;;6;112;;102;;;;;;;;;2020;108;10;Earthquake
76; Sulawesi Barat;1;;;1;44;;13;;;;;;;;;2020;108;10;Earthquake
11; Aceh;9;;;;23274;20;63;1;;;;;;;;2020;101;11;Flood
12; Sumatera Utara;19;;;;100762;1100;;;;;;;1;;46;2020;101;11;Flood
13; Sumatera Barat;8;;;1;1766;286;8;;;2;;1;3;;;2020;101;11;Flood
14; Riau;7;;;;3520;65;13;;;;;;;;;2020;101;11;Flood
15; Jambi;9;;;;23603;;2702;;;;;;;;;2020;101;11;Flood
16; Sumatera Selatan;4;;;;454;;5;1;;1;;;3;;;2020;101;11;Flood
17; Bengkulu;3;;;;2410;;6;;;;;;;;;2020;101;11;Flood
31; Jakarta;3;;;;;;;;;;;;;;;2020;101;11;Flood
32; Jawa Barat;7;;1;;84;25;4;;;;;;;;;2020;101;11;Flood
33; Jawa Tengah;19;2;;;2454;13;52;1;;;;;3;;;2020;101;11;Flood
35; Jawa Timur;8;;;;42767;;2;4;;5;;;;;;2020;101;11;Flood
36; Banten;1;;;;1010;;;;;;;;;;;2020;101;11;Flood
52; Nusa Tenggara Barat;5;;;;662;;6;1;;;;1;;;;2020;101;11;Flood
61; Kalimantan Barat;1;;;;41;;;;;;;;;;;2020;101;11;Flood
62; Kalimantan Tengah;6;;;;12075;601;;;;;;;;;;2020;101;11;Flood
63; Kalimantan Selatan;5;;;;4627;;;;;;;;;;;2020;101;11;Flood
64; Kalimantan Timur;2;;;;933;;;;;;;;;;;2020;101;11;Flood
65; Kalimantan Utara;2;;;;100;;;;;;;;;;;2020;101;11;Flood
71; Sulawesi Utara;1;;;;413;;;;;;;;;;;2020;101;11;Flood
81; Maluku;1;;;;66;;;;;;;;;;;2020;101;11;Flood
11; Aceh;1;;;;;4;1;;;;;;1;;;2020;102;11;Land_Slide
12; Sumatera Utara;1;;;1;215;90;61;;;;;;;;;2020;102;11;Land_Slide
13; Sumatera Barat;4;;;;4;;7;;;;;;;;;2020;102;11;Land_Slide
15; Jambi;1;;;;2;;1;;;;;;;;;2020;102;11;Land_Slide
17; Bengkulu;1;;;;;;;;;;;;2;;;2020;102;11;Land_Slide
32; Jawa Barat;29;2;;7;1770;28;52;1;;;;;2;;;2020;102;11;Land_Slide
33; Jawa Tengah;37;6;;4;79;61;234;1;;3;;;4;;4;2020;102;11;Land_Slide
35; Jawa Timur;4;;;;2;;15;;;;;;;;;2020;102;11;Land_Slide
