No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
5; Manokwari;5;;;;1540;158;4;;;;;;2;;;2019;101;Flood
7; Sorong;1;;;;;;;;;;;;;;;2019;101;Flood
4; Teluk Bintuni;1;;;;150;;;;;;;;;;;2020;101;Flood
5; Manokwari;1;;;;1000;;;;;;;;;;;2020;101;Flood
7; Sorong;1;;;;500;;;;;;;;;;;2020;101;Flood
71; Kota Sorong;1;1;;;;;1;;;;;;;;;2020;102;Land_Slide
5; Manokwari;1;;;;2869;;2;;;;;;;;;2020;103;Flood and Land Slide
71; Kota Sorong;3;9;;7;9579;2084;462;;1;1;;;;;;2020;103;Flood and Land Slide
9; Tambrauw;1;;;;;;6;;;;;;;;;2020;105;Tornado
4; Teluk Bintuni;1;;;;;;;;;;;;;;;2021;108;Earthquake
3; Jayapura;3;105;82;983;167033;11983;1118;10;3;18;;43;5;;104;2019;101;Flood
4; Nabire;2;;;;;1815;1;;;;;;1;;;2019;101;Flood
17; Pegunungan Bintang;2;;;;1210;;;4;2;;;;;;2;2019;101;Flood
18; Tolikara;1;;6;;;120;;;;1;;;1;;;2019;101;Flood
19; Sarmi;2;;;;;;518;3;;5;;2;6;;;2019;101;Flood
71; Kota Jayapura;2;1;;;7375;;1;;;;;;;;;2019;101;Flood
71; Kota Jayapura;1;7;;4;600;80;4;;;;;;;;;2019;102;Land_Slide
19; Sarmi;1;;;3;;240;101;4;1;4;;2;1;;;2019;108;Earthquake
31; Mamberamo Tengah;2;;;;;;;;1;;;;;;;2019;108;Earthquake
1; Merauke;1;;;;;450;;;;;;;;;;2020;101;Flood
4; Nabire;1;;;;150;;;;;;;;;;;2020;101;Flood
12; Mimika;1;;;;;;;;;;;;1;;;2020;101;Flood
28; Mamberamo Raya;1;;;;;90;10;;;;;;;;;2020;101;Flood
36; Deiyai;1;;;;340;;35;;;2;;1;;;2;2020;101;Flood
71; Kota Jayapura;1;2;;;;;2;;;;;;;;;2020;101;Flood
12; Mimika;1;;;;;90;8;1;;1;;;6;;;2020;102;Land_Slide
28; Mamberamo Raya;1;1;;;10;;2;;;;;;;;;2020;105;Tornado
3; Jayapura;1;;;;;5;;;;;;;;;;2020;108;Earthquake
2; Jayawijaya;1;;;;40040;;;;;;;;13;;;2021;101;Flood
3; Jayapura;2;;;;370;100;2;;;;;;;;;2021;101;Flood
10; Paniai;1;;;;1055;780;11;1;;;;;;;;2021;101;Flood
20; Keerom;2;;;;65;4406;;;;;;;1;;;2021;101;Flood
27; Supiori;1;;;;;151;;;;;;;;;;2021;101;Flood
28; Mamberamo Raya;1;;;;175;;;;;;;;;;;2021;101;Flood
28; Mamberamo Raya;1;;;10;140;150;28;;;;;;;;;2021;105;Tornado
2; Jayawijaya;1;;;;;;;;;;;;;;;2021;108;Earthquake
3; Jayapura;4;0;0;0;0;76;43;0;0;1;1;0;0;0;0;2022;101;Flood
16; Yahukimo;1;0;0;0;0;288;288;0;0;0;0;0;0;0;0;2022;101;Flood
26; Waropen;1;0;0;0;0;22;0;0;0;0;0;0;0;0;0;2022;101;Flood
3; Jayapura;1;0;0;0;0;40;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
17; Pegunungan Bintang;1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
26; Waropen;1;0;0;0;0;63;27;0;0;1;0;0;0;0;0;2022;102;Land_Slide
71; Kota Jayapura;4;8;0;6;0;11880;729;1;1;0;3;1;0;0;0;2022;103;Flood and Land Slide
12; Mimika;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2022;105;Tornado
30; Lanny Jaya;1;4;0;0;6;2740;0;0;0;0;0;0;0;0;0;2022;106;Drought
28; Mamberamo Raya;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2022;108;Earthquake
