No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
75; Kota Bukittinggi;1;;;;;;1;;;;;;;;;2020;105;Tornado
76; Kota Payakumbuh;1;;;;;;1;;;;;;;;;2020;105;Tornado
77; Kota Pariaman;2;;;;;;3;;;;;;;;;2020;105;Tornado
4; Sijunjung;1;;;;;;;;;;;;;;;2020;107;Forest Fire
6; Padang Pariaman;1;;;;;;;;;;;;;;;2020;107;Forest Fire
7; Agam;6;;;;;;;;;;;;;;;2020;107;Forest Fire
12; Pasaman Barat;3;;;;;;;;;;;;;;;2020;107;Forest Fire
2; Pesisir Selatan;2;;;;4903;;6;;;;;;;;;2021;101;Flood
3; Solok;1;;;;5500;;;;;;;;;;;2021;101;Flood
4; Sijunjung;3;;;;599;;1;;;;;;;;;2021;101;Flood
6; Padang Pariaman;2;;;;1575;;;;;;;;;;;2021;101;Flood
8; Lima Puluh Kota;3;;;;1258;;1;;;;;;1;;;2021;101;Flood
10; Solok Selatan;4;;;;1947;;2;;;;;;2;;7;2021;101;Flood
71; Kota Padang;1;;;;3;;;;;;;;;;;2021;101;Flood
72; Kota Solok;1;;;;8045;;;;;;;;;;;2021;101;Flood
3; Solok;1;;;;;;1;;;;;;;;;2021;102;Land_Slide
10; Solok Selatan;2;8;;9;2500;;;;;;;;;;;2021;102;Land_Slide
73; Kota Sawah Lunto;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;Land_Slide
2; Pesisir Selatan;1;;;;15;;3;;;;;;3;;;2021;103;Flood and Land Slide
5; Tanah Datar;1;;;;1020;;10;;;;;;;;;2021;105;Tornado
6; Padang Pariaman;10;;;2;101;;55;;;1;;1;;;2;2021;105;Tornado
7; Agam;5;;;;44;;11;;;;;;;;;2021;105;Tornado
8; Lima Puluh Kota;3;;;1;630;;6;1;;;;;;;;2021;105;Tornado
10; Solok Selatan;2;;;;5;;101;1;;;;;;;;2021;105;Tornado
12; Pasaman Barat;1;;;;355;;71;;;;;;;;;2021;105;Tornado
77; Kota Pariaman;1;;;;4;;4;;;;;;;;;2021;105;Tornado
71; Kota Padang;1;;;;1280;;;;;;;;;;;2021;106;Drought
6; Padang Pariaman;2;;;;;;;;;;;;;;;2021;107;Forest Fire
7; Agam;2;;;;;;;;;;;;;;;2021;107;Forest Fire
8; Lima Puluh Kota;3;;;;;;;;;;;;;;;2021;107;Forest Fire
1; Kepulauan Mentawai;1;;;;500;;;;1;;;;;;;2021;108;Earthquake
73; Kota Sawah Lunto;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
73; Kota Sawah Lunto;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;Tornado
1; Kuantan Singingi;2;;;;1590;55;112;;;;;;;;;2019;101;Flood
2; Indragiri Hulu;2;;;;;;;;;;;;;;;2019;101;Flood
4; Pelalawan;3;;;;7059;115;;;;;;;;;;2019;101;Flood
6; Kampar;1;;;;39635;;;;;;;;;;;2019;101;Flood
7; Rokan Hulu;4;;;;10651;10;;;;;;;2;;;2019;101;Flood
9; Rokan Hilir;3;;;;;35;;;;;;;;;;2019;101;Flood
71; Kota Pekanbaru;1;1;;;;;;;;;;;;;;2019;101;Flood
3; Indragiri Hilir;1;;;;;15;3;;;;;;;;;2019;102;Land_Slide
7; Rokan Hulu;1;2;;;;;;;;;;;;;;2019;102;Land_Slide
1; Kuantan Singingi;1;;;;;100;20;3;;;;;;;;2019;105;Tornado
9; Rokan Hilir;1;;;7;;;69;;;;;;;;;2019;105;Tornado
1; Kuantan Singingi;1;;;;;;;;;;;;;;;2019;107;Forest Fire
2; Indragiri Hulu;1;;;;;;;;;;;;;;;2019;107;Forest Fire
3; Indragiri Hilir;1;;;;;;;;;;;;;;;2019;107;Forest Fire
4; Pelalawan;1;;;;;;;;;;;;;;;2019;107;Forest Fire
5; Siak;3;;;;;;;;;;;;;;;2019;107;Forest Fire
6; Kampar;2;;;;;;;;;;;;;;;2019;107;Forest Fire
7; Rokan Hulu;1;;;;;;;;;;;;;;;2019;107;Forest Fire
8; Bengkalis;6;;;;;;;;;;;;;;;2019;107;Forest Fire
9; Rokan Hilir;1;;;;;;;;;;;;;;;2019;107;Forest Fire
10; Kepulauan Meranti;1;;;;;;;;;;;;;;;2019;107;Forest Fire
71; Kota Pekanbaru;5;;;;;;;;;;;;;;;2019;107;Forest Fire
73; Kota Dumai;15;;;;;;;;;;;;;;;2019;107;Forest Fire
2; Indragiri Hulu;2;;;;700;;;;;;;;;;;2020;101;Flood
6; Kampar;2;;;;50;;;;;;;;;;;2020;101;Flood
7; Rokan Hulu;10;;;;13457;75;;;;;;;;;;2020;101;Flood
9; Rokan Hilir;4;;;;560;65;13;;;;;;;;;2020;101;Flood
71; Kota Pekanbaru;1;;;;205;;;;;;;;;;;2020;101;Flood
3; Indragiri Hilir;5;;;;35;103;24;;;;;;;;;2020;102;Land_Slide
3; Indragiri Hilir;4;;;;;;22;;;;;;;;;2020;105;Tornado
6; Kampar;3;;;;;;58;1;;1;;;;;;2020;105;Tornado
7; Rokan Hulu;2;;;;;82;;;;;;;;;;2020;105;Tornado
10; Kepulauan Meranti;1;;;1;5;;1;;;;;;;;;2020;105;Tornado
1; Kuantan Singingi;1;;;;;;;;;;;;;;;2020;107;Forest Fire
2; Indragiri Hulu;2;;;;;;;;;;;;;;;2020;107;Forest Fire
3; Indragiri Hilir;1;;;;;;;;;;;;;;;2020;107;Forest Fire
4; Pelalawan;1;;;;;;;;;;;;;;;2020;107;Forest Fire
5; Siak;1;;;;;;;;;;;;;;;2020;107;Forest Fire
6; Kampar;1;;;;;;;;;;;;;;;2020;107;Forest Fire
7; Rokan Hulu;1;;;;;;;;;;;;;;;2020;107;Forest Fire
8; Bengkalis;3;;;;;;;;;;;;;;;2020;107;Forest Fire
9; Rokan Hilir;2;;;;;;;;;;;;;;;2020;107;Forest Fire
10; Kepulauan Meranti;1;;;;;;;;;;;;;;;2020;107;Forest Fire
71; Kota Pekanbaru;3;;;;;;;;;;;;;;;2020;107;Forest Fire
73; Kota Dumai;4;;;;;;;;;;;;;;;2020;107;Forest Fire
2; Indragiri Hulu;3;;;;555;;;;;;;;;;;2021;101;Flood
3; Indragiri Hilir;2;;;;2245;;;;;;;;;;;2021;101;Flood
5; Siak;2;;;;295;450;;;;;;;;;;2021;101;Flood
6; Kampar;3;;;;2475;;;;;;;;;;;2021;101;Flood
7; Rokan Hulu;1;;;;600;;;;;;;;;;;2021;101;Flood
71; Kota Pekanbaru;2;;;;2901;;;;;;;;;;;2021;101;Flood
73; Kota Dumai;1;;;;1999;150;;;;;;;;;;2021;101;Flood
3; Indragiri Hilir;2;;;;30;;6;;;;;;;;1;2021;102;Land_Slide
6; Kampar;1;;;;;;;;;1;;;;;;2021;102;Land_Slide
3; Indragiri Hilir;3;;;;36;;46;;;;;;;;;2021;104;Abration
3; Indragiri Hilir;3;1;;2;95;;8;;;;;;;;;2021;105;Tornado
6; Kampar;1;;;;;20;25;;;;;;;;;2021;105;Tornado
7; Rokan Hulu;1;;;;225;;;;;;;;;;;2021;105;Tornado
8; Bengkalis;1;;;;;;4;;;1;;;;;;2021;105;Tornado
2; Indragiri Hulu;7;;;;4;;;;;;;;;;;2021;107;Forest Fire
3; Indragiri Hilir;5;;;;;;;;;;;;;;;2021;107;Forest Fire
4; Pelalawan;3;;;;;;;;;;;;;;;2021;107;Forest Fire
5; Siak;3;;;;;;;;;;;;;;;2021;107;Forest Fire
6; Kampar;6;;;;;;;;;;;;;;;2021;107;Forest Fire
8; Bengkalis;6;;;;;;;;;;;;;;;2021;107;Forest Fire
9; Rokan Hilir;2;;;;;;;;;;;;;;;2021;107;Forest Fire
10; Kepulauan Meranti;3;;;;;;;;;;;;;;;2021;107;Forest Fire
71; Kota Pekanbaru;2;;;;;;;;;;;;;;;2021;107;Forest Fire
73; Kota Dumai;4;;;;;;;;;;;;;;;2021;107;Forest Fire
1; Kerinci;2;;;;68;405;;;;;;;;;;2019;101;Flood
2; Merangin;3;;;;;;;;;;;;;;;2019;101;Flood
3; Sarolangun;4;;;;16970;;;1;;;;;1;;;2019;101;Flood
4; Batang Hari;1;;;;;50;;2;;;;;;;;2019;101;Flood
6; Tanjung Jabung Timur;2;;;;200;20;;;;;;;;;;2019;101;Flood
1; Kerinci;1;;;;7;;2;;;;;;;;;2019;102;Land_Slide
3; Sarolangun;1;1;;1;;;;;;;;;;;;2019;102;Land_Slide
2; Merangin;1;;;;;;29;;2;;;;;;;2019;105;Tornado
6; Tanjung Jabung Timur;1;;;;;;;;;;;;;;1;2019;105;Tornado
72; Kota Sungai Penuh;2;;;;120;;50;;;1;;;;;;2019;105;Tornado
2; Merangin;1;;;;;;;;;;;;;;;2019;107;Forest Fire
3; Sarolangun;2;;;;;;;;;;;;;;;2019;107;Forest Fire
4; Batang Hari;2;;;;;;;;;;;;;;;2019;107;Forest Fire
5; Muaro Jambi;1;;;;;;;;;;;;;;;2019;107;Forest Fire
6; Tanjung Jabung Timur;1;;;;;;;;;;;;;;;2019;107;Forest Fire
7; Tanjung Jabung Barat;1;;;;;;;;;;;;;;;2019;107;Forest Fire
8; Tebo;1;;;;;;;;;;;;;;;2019;107;Forest Fire
9; Bungo;1;;;;;;;;;;;;;;;2019;107;Forest Fire
1; Kerinci;4;;;;21590;;;;;;;;;;;2020;101;Flood
2; Merangin;4;;;;2018;;1;;;;;;;;;2020;101;Flood
3; Sarolangun;8;;;;13136;250;120;;;;;;1;;;2020;101;Flood
4; Batang Hari;4;;;;9462;;;;;;;;;;;2020;101;Flood
5; Muaro Jambi;4;;;;2955;;;;;;;;;;;2020;101;Flood
7; Tanjung Jabung Barat;1;;;;;;;;;;;;;;;2020;101;Flood
8; Tebo;2;;;;1950;;2582;;;;;;;;;2020;101;Flood
9; Bungo;3;;;;3375;;;;;1;;;;;;2020;101;Flood
71; Kota Jambi;2;;;;4125;;;;;;;;;;;2020;101;Flood
72; Kota Sungai Penuh;4;;;;4271;;;;;;;;;;;2020;101;Flood
1; Kerinci;1;;;;2;;1;;;;;;;;;2020;102;Land_Slide
1; Kerinci;1;;;;;6;2;;;;;;;;;2020;103;Flood and Land Slide
9; Bungo;1;;;;2483;;;;;;;;;;;2020;103;Flood and Land Slide
72; Kota Sungai Penuh;1;;;;;;;;;;;;;;;2020;103;Flood and Land Slide
1; Kerinci;3;;;;405;;92;;;;;;;;;2020;105;Tornado
3; Sarolangun;1;;;;;;65;1;;;;;;;;2020;105;Tornado
4; Batang Hari;1;;;;15;;18;;;;;;;;;2020;105;Tornado
5; Muaro Jambi;1;;;;50;;10;;;;;;;;;2020;105;Tornado
71; Kota Jambi;1;1;;;;;1;;;;;;;;;2020;105;Tornado
1; Kerinci;1;;;;;;;;;;;;;;;2020;107;Forest Fire
2; Merangin;15;;;;;;;;;;;;;;;2020;107;Forest Fire
3; Sarolangun;24;;;;;;;;;;;;;;;2020;107;Forest Fire
4; Batang Hari;5;;;;;;;;;;;;;;;2020;107;Forest Fire
5; Muaro Jambi;3;;;;;;;;;;;;;;;2020;107;Forest Fire
8; Tebo;4;;;;;;;;;;;;;;;2020;107;Forest Fire
9; Bungo;5;;;;;;;;;;;;;;;2020;107;Forest Fire
2; Merangin;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
4; Batang Hari;1;;;;4;;1;;;;;;;;;2021;105;Tornado
6; Tanjung Jabung Timur;1;;;;13;;5;;;;;;;;;2021;105;Tornado
1; Kerinci;2;0;0;0;706;26;0;0;0;0;0;0;1;0;0;2022;101;Flood
1; Kerinci;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;2022;102;Land_Slide
1; Kerinci;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
1; Ogan Komering Ulu;4;;;;150;;;1;;;;;2;;;2019;101;Flood
2; Ogan Komering Ilir;3;;;;424;20;;;;;;;;;;2019;101;Flood
3; Muara Enim;1;;;;95;;;;;;;;;;;2019;101;Flood
4; Lahat;2;;;;;;80;1;;1;;1;3;;;2019;101;Flood
5; Musi Rawas;2;;;;2010;;;;1;;;;;;;2019;101;Flood
6; Musi Banyuasin;5;;;;5505;;;1;;1;;;;;;2019;101;Flood
7; Banyu Asin;2;;;;;;;;;;;;;;;2019;101;Flood
8; Ogan Komering Ulu Selatan;6;2;;1;;;1;4;;;;;9;;;2019;101;Flood
10; Ogan Ilir;2;;;;675;;;1;;;;;;;;2019;101;Flood
11; Empat Lawang;1;;;;90;;27;;;;;;;;;2019;101;Flood
12; Penukal Abab Lematang Ilir;1;;;;;;;;;;;;;;;2019;101;Flood
13; Musi Rawas Utara;1;;;;12860;;;;;;;;2;;;2019;101;Flood
6; Musi Banyuasin;2;;;;;;2;;;;;;;;;2019;102;Land_Slide
8; Ogan Komering Ulu Selatan;3;;;1;;3;2;;;;;;;;;2019;102;Land_Slide
10; Ogan Ilir;1;;;;;;;;;;;;1;;;2019;102;Land_Slide
11; Empat Lawang;1;;;1;;;3;;;;;;;;;2019;102;Land_Slide
73; Kota Pagar Alam;1;;;;;;;;;;;;;;;2019;102;Land_Slide
3; Muara Enim;1;1;;;4;;1;;;;;;;;;2019;105;Tornado
5; Musi Rawas;2;;;;140;;54;;;;;;;;1;2019;105;Tornado
6; Musi Banyuasin;1;;;;85;;17;2;;3;;;;;;2019;105;Tornado
7; Banyu Asin;2;;;3;;;114;;;;;;;;;2019;105;Tornado
9; Ogan Komering Ulu Timur;1;;;;;;9;;;;;;;;;2019;105;Tornado
10; Ogan Ilir;4;;;;8;;4;;;;;;;;;2019;105;Tornado
12; Penukal Abab Lematang Ilir;2;;;;16;;7;;;;;;;;;2019;105;Tornado
13; Musi Rawas Utara;2;;;;915;915;261;;;;;;;;;2019;105;Tornado
71; Kota Palembang;1;;;;;;;;2;;;;;;;2019;105;Tornado
2; Ogan Komering Ilir;1;;;;;;;;;;;;;;;2019;107;Forest Fire
3; Muara Enim;1;;;;;;;;;;;;;;;2019;107;Forest Fire
4; Lahat;1;;;;;;;;;;;;;;;2019;107;Forest Fire
5; Musi Rawas;1;;;;;;;;;;;;;;;2019;107;Forest Fire
6; Musi Banyuasin;2;;;;;;;;;;;;;;;2019;107;Forest Fire
7; Banyu Asin;6;1;;;;;;;;;;;;;;2019;107;Forest Fire
8; Ogan Komering Ulu Selatan;1;;;;;;;;;;;;;;;2019;107;Forest Fire
10; Ogan Ilir;14;;;;;;;;;;;;;;;2019;107;Forest Fire
12; Penukal Abab Lematang Ilir;7;;;;;;;;;;;;;;;2019;107;Forest Fire
13; Musi Rawas Utara;1;;;;;;;;;;;;;;;2019;107;Forest Fire
71; Kota Palembang;1;;;;;;;;;;;;;;;2019;107;Forest Fire
73; Kota Pagar Alam;2;;;;;;;;;;;;;;;2019;107;Forest Fire
74; Kota Lubuklinggau;3;;;;;;;;;;;;;;;2019;107;Forest Fire
1; Ogan Komering Ulu;5;;;;7000;;1;;;;;;;;;2020;101;Flood
2; Ogan Komering Ilir;1;;;;265;;;;;;;;;;;2020;101;Flood
3; Muara Enim;5;;;;454;;5;;;1;;;;;;2020;101;Flood
4; Lahat;3;;;;;390;938;;;;;;5;;;2020;101;Flood
5; Musi Rawas;3;;;;15638;;;2;;;;;4;;;2020;101;Flood
6; Musi Banyuasin;5;;;;750;;;;;1;;;;;;2020;101;Flood
7; Banyu Asin;1;;;;6;;;;;;;;;;;2020;101;Flood
8; Ogan Komering Ulu Selatan;4;1;;;5011;10;32;3;;;;;11;;;2020;101;Flood
9; Ogan Komering Ulu Timur;5;;;;;;1;;;;;;;;;2020;101;Flood
10; Ogan Ilir;1;;;;;;;;;;;;;;;2020;101;Flood
11; Empat Lawang;4;;;;;;;1;;;;;8;;;2020;101;Flood
12; Penukal Abab Lematang Ilir;8;;;;5041;11;;;;;;;;;;2020;101;Flood
13; Musi Rawas Utara;2;;;;2298;;;4;2;;;;1;;;2020;101;Flood
72; Kota Prabumulih;1;;;;;;;;;;;;;;;2020;101;Flood
73; Kota Pagar Alam;2;;;;;;;;;1;;;;;;2020;101;Flood
74; Kota Lubuklinggau;1;;;;;;5;;;;;;;;;2020;101;Flood
3; Muara Enim;1;11;;;;;;;;;;;;;;2020;102;Land_Slide
4; Lahat;2;;;;;;2;;;;;;;;;2020;102;Land_Slide
6; Musi Banyuasin;1;;;;70;;13;;;;;;;;;2020;102;Land_Slide
8; Ogan Komering Ulu Selatan;4;1;;;;;2;;;;;;;;;2020;102;Land_Slide
11; Empat Lawang;2;;;;25;;6;;;;;;;;;2020;102;Land_Slide
12; Penukal Abab Lematang Ilir;1;1;1;;;;;;;;;;;;;2020;102;Land_Slide
74; Kota Lubuklinggau;1;;;;;;3;;;;;;;;;2020;102;Land_Slide
1; Ogan Komering Ulu;1;1;;;;;;;;;;;;;;2020;103;Flood and Land Slide
3; Muara Enim;1;;;;;;;;;;;;4;;;2020;103;Flood and Land Slide
4; Lahat;2;;;;;;7;;;;;;;;;2020;103;Flood and Land Slide
9; Ogan Komering Ulu Timur;1;;;;;;6;;;;;;1;;;2020;103;Flood and Land Slide
2; Ogan Komering Ilir;1;;;;;;12;;;;;;;;;2020;105;Tornado
3; Muara Enim;1;;;;;;23;;;;;;;;;2020;105;Tornado
6; Musi Banyuasin;1;;;;;;23;;;;;;;;;2020;105;Tornado
7; Banyu Asin;3;;;;;;5;8;;;;;;;;2020;105;Tornado
8; Ogan Komering Ulu Selatan;2;;;;5;;30;;;;;;;;;2020;105;Tornado
10; Ogan Ilir;4;;;;19;;8;;;;;;;;;2020;105;Tornado
12; Penukal Abab Lematang Ilir;1;;;;;;1;;;;;;;;;2020;105;Tornado
72; Kota Prabumulih;1;;;;;;130;;;;;;;;;2020;105;Tornado
73; Kota Pagar Alam;1;;;;;;1;;;;;;;;;2020;105;Tornado
12; Penukal Abab Lematang Ilir;1;;;;1000;;;;;;;;;;;2020;106;Drought
5; Musi Rawas;1;;;;;;;;;;;;;;;2020;107;Forest Fire
7; Banyu Asin;3;;;;;;;;;;;;;;;2020;107;Forest Fire
10; Ogan Ilir;3;;;;;;;;;;;;;;;2020;107;Forest Fire
1; Ogan Komering Ulu;3;;;;800;;;;;;;;;;;2021;101;Flood
4; Lahat;1;;;;;;;;;;;;;;;2021;101;Flood
5; Musi Rawas;4;0;0;0;1500;0;2;0;0;0;0;0;0;0;0;2021;101;Flood
6; Musi Banyuasin;1;;;;1190;50;;;;;;;;;;2021;101;Flood
7; Banyu Asin;5;0;0;0;0;50;0;0;0;0;0;0;0;0;0;2021;101;Flood
12; Penukal Abab Lematang Ilir;4;;;;2025;5;;;;;;;;;;2021;101;Flood
71; Kota Palembang;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
74; Kota Lubuklinggau;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
3; Muara Enim;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2021;102;Land_Slide
4; Lahat;1;;;;4;;1;;;;;;;;;2021;102;Land_Slide
5; Musi Rawas;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;Land_Slide
8; Ogan Komering Ulu Selatan;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;Land_Slide
12; Penukal Abab Lematang Ilir;1;;;;5;;;;;;;;;;;2021;102;Land_Slide
1; Ogan Komering Ulu;1;;;;;;;;;;;;;;;2021;103;Flood and Land Slide
8; Ogan Komering Ulu Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;103;Flood and Land Slide
1; Ogan Komering Ulu;1;;;;2750;;550;;;;;;;;;2021;105;Tornado
2; Ogan Komering Ilir;1;;;;20;;4;;;;;;;;;2021;105;Tornado
4; Lahat;1;;;;55;;11;;;;;;;;;2021;105;Tornado
5; Musi Rawas;5;0;0;0;0;0;37;0;0;2;0;0;0;0;0;2021;105;Tornado
7; Banyu Asin;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;Tornado
8; Ogan Komering Ulu Selatan;1;;;;10;;;;;;;;;;;2021;105;Tornado
10; Ogan Ilir;6;0;0;0;365;0;128;1;0;0;0;1;0;0;0;2021;105;Tornado
11; Empat Lawang;1;;;;10;;2;;;;;;;;;2021;105;Tornado
12; Penukal Abab Lematang Ilir;1;;;;;;12;;;;;;;;;2021;105;Tornado
74; Kota Lubuklinggau;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;Tornado
1; Ogan Komering Ulu;6;;;;;;;;;;;;;;;2021;107;Forest Fire
5; Musi Rawas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
7; Banyu Asin;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
10; Ogan Ilir;7;;;4;50;;11;;;;;;;;;2021;107;Forest Fire
12; Penukal Abab Lematang Ilir;1;;;;;;;;;;;;;;;2021;107;Forest Fire
74; Kota Lubuklinggau;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
1; Ogan Komering Ulu;5;0;0;0;0;0;2;0;0;0;0;1;0;0;2;2022;101;Flood
2; Ogan Komering Ilir;9;0;0;0;343;16;0;0;0;0;0;0;0;0;0;2022;101;Flood
3; Muara Enim;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
5; Musi Rawas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
6; Musi Banyuasin;9;0;0;0;1335;21;0;0;0;0;1;0;1;0;0;2022;101;Flood
7; Banyu Asin;3;0;0;0;1881;1625;0;0;0;0;0;0;0;0;0;2022;101;Flood
8; Ogan Komering Ulu Selatan;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2022;101;Flood
9; Ogan Komering Ulu Timur;3;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2022;101;Flood
10; Ogan Ilir;6;0;0;0;190;6;0;0;0;0;0;0;0;0;0;2022;101;Flood
11; Empat Lawang;3;0;0;0;0;0;2;0;0;0;2;0;4;0;0;2022;101;Flood
13; Musi Rawas Utara;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
72; Kota Prabumulih;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
73; Kota Pagar Alam;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
3; Muara Enim;7;0;0;0;0;0;3;0;0;0;4;0;0;0;0;2022;102;Land_Slide
6; Musi Banyuasin;14;0;0;0;74;14;10;0;1;0;0;0;2;0;0;2022;102;Land_Slide
7; Banyu Asin;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2022;102;Land_Slide
8; Ogan Komering Ulu Selatan;14;0;0;4;63;17;4;0;0;0;11;0;0;1;0;2022;102;Land_Slide
9; Ogan Komering Ulu Timur;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
11; Empat Lawang;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2022;102;Land_Slide
13; Musi Rawas Utara;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2022;102;Land_Slide
73; Kota Pagar Alam;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
9; Ogan Komering Ulu Timur;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2022;103;Flood and Land Slide
10; Ogan Ilir;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;103;Flood and Land Slide
2; Ogan Komering Ilir;2;0;0;0;72;0;43;0;0;0;0;0;0;0;0;2022;105;Tornado
3; Muara Enim;4;0;0;0;0;17;11;0;1;0;1;0;0;0;0;2022;105;Tornado
5; Musi Rawas;8;0;0;10;0;0;263;0;1;1;0;13;0;0;0;2022;105;Tornado
6; Musi Banyuasin;5;0;0;0;5;7;10;0;0;0;0;0;0;0;0;2022;105;Tornado
7; Banyu Asin;7;0;0;0;0;0;79;2;0;0;0;0;0;0;0;2022;105;Tornado
8; Ogan Komering Ulu Selatan;7;0;0;0;0;0;1;0;0;0;5;1;0;0;0;2022;105;Tornado
9; Ogan Komering Ulu Timur;2;0;0;0;0;0;46;0;0;0;0;0;0;0;0;2022;105;Tornado
10; Ogan Ilir;12;0;0;0;94;60;60;0;0;0;1;1;0;0;2;2022;105;Tornado
11; Empat Lawang;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;Tornado
13; Musi Rawas Utara;4;0;0;1;0;0;155;0;0;0;0;0;0;0;0;2022;105;Tornado
2; Ogan Komering Ilir;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
3; Muara Enim;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
6; Musi Banyuasin;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
7; Banyu Asin;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
9; Ogan Komering Ulu Timur;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
10; Ogan Ilir;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
11; Empat Lawang;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
73; Kota Pagar Alam;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;108;Earthquake
73; Kota Pagar Alam;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;111;Volcano Eruption
1; Bengkulu Selatan;1;;;;90;;18;;;;;;7;;;2019;101;Flood
2; Rejang Lebong;1;;;;815;;38;1;;1;;;1;;;2019;101;Flood
3; Bengkulu Utara;1;;;;3888;;;;2;;;;17;;;2019;101;Flood
4; Kaur;1;;1;;4810;41;684;7;1;4;;;10;;;2019;101;Flood
5; Seluma;4;1;;;2770;875;42;;1;3;;;;;;2019;101;Flood
6; Mukomuko;1;;;;714;895;25;;;;;;;;;2019;101;Flood
7; Lebong;1;;;;5870;;3;3;1;;;;1;;;2019;101;Flood
8; Kepahiang;2;3;1;;1871;;280;2;1;;;;12;;;2019;101;Flood
9; Bengkulu Tengah;1;19;2;4;20068;1095;465;9;;3;;;2;;;2019;101;Flood
71; Kota Bengkulu;2;3;;;17413;12599;476;5;1;7;;2;;;;2019;101;Flood
8; Kepahiang;2;;;;5;;2;;;;;;;;;2019;102;Land_Slide
5; Seluma;1;;;;160;;18;;;;;;;;;2019;104;Abration
2; Rejang Lebong;1;1;;3;;;;;;;;;;;;2019;105;Tornado
8; Kepahiang;1;;;;;;5;;;;;;;;;2019;105;Tornado
3; Bengkulu Utara;2;;;;;150;;;;;;;;;;2019;107;Forest Fire
5; Seluma;1;;;;;;;;;;;;;;;2019;107;Forest Fire
6; Mukomuko;1;;;;;;;;;;;;;;;2019;107;Forest Fire
9; Bengkulu Tengah;1;;;;;;;;;;;;;;;2019;107;Forest Fire
2; Rejang Lebong;1;;;;2155;;1;;;;;;;;;2020;101;Flood
3; Bengkulu Utara;1;;;;;;;;;;;;;;;2020;101;Flood
4; Kaur;2;10;;;1300;;;1;;;;;1;;;2020;101;Flood
5; Seluma;7;;;;11147;;405;10;1;4;;;5;;;2020;101;Flood
6; Mukomuko;1;;;;;;;;;;;;;;;2020;101;Flood
7; Lebong;1;;;;500;;;;;;;;;;;2020;101;Flood
8; Kepahiang;1;;;;700;;10;;;;;;;;;2020;101;Flood
9; Bengkulu Tengah;2;;;;;;6;;;;;;8;;;2020;101;Flood
71; Kota Bengkulu;4;;;;4725;;;;;;;;;;;2020;101;Flood
1; Bengkulu Selatan;2;;;;;;;;;;;;2;;;2020;102;Land_Slide
